City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Kahului,US,2022-11-24 17:44:27,20.8947,-156.47,72.84,88,40,27.63,light rain
81,Annapolis,US,2022-11-24 17:40:30,38.9785,-76.4922,60.98,54,0,5.75,clear sky
82,Kozhva,RU,2022-11-24 17:44:28,65.1073,57.0459,1.8,99,94,2.35,overcast clouds
83,Talnakh,RU,2022-11-24 17:44:28,69.4865,88.3972,-31.43,96,55,2.8,broken clouds
84,San Quintin,MX,2022-11-24 17:44:29,30.4833,-115.95,69.19,31,0,5.73,clear sky
85,Puerto Cabezas,NI,2022-11-24 17:44:29,14.0351,-83.3888,85.96,74,75,9.22,broken clouds
86,Shingu,JP,2022-11-24 17:44:30,33.7333,135.9833,50.36,80,12,7.34,few clouds
87,Mahebourg,MU,2022-11-24 17:44:30,-20.4081,57.7,77.29,73,20,8.05,few clouds
88,Mecca,SA,2022-11-24 17:44:38,21.4267,39.8261,80.17,61,8,14.32,clear sky
89,Petropavlovsk-Kamchatskiy,RU,2022-11-24 17:45:31,53.0452,158.6483,27.19,54,40,11.18,scattered clouds
90,Caramay,PH,2022-11-24 17:45:32,10.1815,119.236,78.76,84,92,1.95,heavy intensity rain
91,Kodiak,US,2022-11-24 17:45:32,57.79,-152.4072,38.71,48,0,14.97,clear sky
92,Inongo,CD,2022-11-24 17:45:32,-1.95,18.2667,77.59,75,93,2.15,overcast clouds
93,Nome,US,2022-11-24 17:45:33,64.5011,-165.4064,24.87,81,100,11.5,light snow
94,Adrar,MR,2022-11-24 17:45:33,20.5022,-10.0711,77.61,13,76,8.39,broken clouds
95,Narsaq,GL,2022-11-24 17:45:34,60.9167,-46.05,41.22,67,59,9.64,broken clouds
96,Elat,IL,2022-11-24 17:44:34,29.5581,34.9482,69.64,94,20,2.3,haze
97,Dunedin,NZ,2022-11-24 17:44:29,-45.8742,170.5036,47.8,74,80,5.01,broken clouds
98,Sao Filipe,CV,2022-11-24 17:45:35,14.8961,-24.4956,77.68,59,83,11.56,broken clouds
99,Constitucion,CL,2022-11-24 17:45:35,-35.3333,-72.4167,66.99,68,100,6.53,overcast clouds
100,Ribeira Grande,PT,2022-11-24 17:45:36,38.5167,-28.7,63.0,59,75,13.0,broken clouds
101,Salinopolis,BR,2022-11-24 17:45:36,-0.6136,-47.3561,84.09,62,85,12.21,overcast clouds
102,Cidreira,BR,2022-11-24 17:45:36,-30.1811,-50.2056,71.62,53,0,9.22,clear sky
103,Mikkeli,FI,2022-11-24 17:45:37,61.6886,27.2723,21.31,93,100,9.22,overcast clouds
104,Inhambane,MZ,2022-11-24 17:45:37,-23.865,35.3833,78.78,69,0,9.22,clear sky
105,Katsuura,JP,2022-11-24 17:45:38,35.1333,140.3,57.83,81,100,13.85,overcast clouds
106,Brae,GB,2022-11-24 17:45:38,60.3964,-1.353,48.47,84,41,24.45,scattered clouds
107,Lyman,UA,2022-11-24 17:45:39,48.9884,37.8023,38.98,73,100,10.96,overcast clouds
108,Komsomolskiy,UZ,2022-11-24 17:45:39,40.4272,71.7189,43.52,81,100,4.61,mist
109,Mounana,GA,2022-11-24 17:45:40,-1.4085,13.1586,72.84,94,88,1.59,overcast clouds
