City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Haines Junction,CA,2022-11-21 17:11:55,60.7522,-137.5108,27.64,98,100,3.18
112,Vlasikha,RU,2022-11-21 17:11:55,53.2972,83.5742,9.45,85,0,6.71
113,Partenit,UA,2022-11-21 17:11:55,44.578,34.3446,60.98,71,99,5.41
114,Longyearbyen,SJ,2022-11-21 17:11:56,78.2186,15.6401,37.24,81,75,12.66
115,Praya,CV,2022-11-21 17:11:56,14.9215,-23.5087,81.14,61,40,21.85
116,Korla,CN,2022-11-21 17:11:57,41.7597,86.1469,37.31,39,29,4.34
117,Kokopo,PG,2022-11-21 17:11:57,-4.352,152.2633,77.68,78,25,3.51
118,Yellowknife,CA,2022-11-21 17:11:58,62.456,-114.3525,26.56,100,100,5.99
119,Chebenki,RU,2022-11-21 17:11:58,51.9337,55.7077,26.35,95,99,1.9
120,Dunkwa,GH,2022-11-21 17:11:59,5.9656,-1.78,84.25,66,75,3.98
121,Polson,US,2022-11-21 17:11:59,47.6936,-114.1632,24.76,77,99,2.82
122,Hithadhoo,MV,2022-11-21 17:11:59,-0.6,73.0833,81.1,77,81,10.89
123,Yulara,AU,2022-11-21 17:12:00,-25.2406,130.9889,72.28,29,100,14.43
124,Shediac,CA,2022-11-21 17:12:00,46.2198,-64.5411,27.09,49,3,16.17
125,Achutupo,PA,2022-11-21 17:12:01,9.2,-77.9833,80.87,85,99,2.89
126,Havoysund,NO,2022-11-21 17:12:01,70.9963,24.6622,35.83,80,52,12.21
127,Svetlogorsk,BY,2022-11-21 17:12:02,52.6333,29.7333,27.41,96,100,7.94
128,Bambous Virieux,MU,2022-11-21 17:12:02,-20.3428,57.7575,76.21,71,0,8.63
129,Bandarbeyla,SO,2022-11-21 17:12:03,9.4942,50.8122,78.48,72,99,22.48
130,Luganville,VU,2022-11-21 17:12:03,-15.5333,167.1667,78.22,86,1,4.59
131,Saint George,US,2022-11-21 17:09:55,37.1041,-113.5841,44.44,38,0,0.0
132,Marawi,PH,2022-11-21 17:12:04,7.9986,124.2928,69.35,92,98,2.01
133,Batagay-Alyta,RU,2022-11-21 17:12:05,67.8006,130.4114,-25.58,92,16,4.23
134,Iqaluit,CA,2022-11-21 17:11:44,63.7506,-68.5145,4.1,94,97,1.7
135,Cherskiy,RU,2022-11-21 17:12:06,68.75,161.3,-29.81,100,100,3.0
136,General Roca,AR,2022-11-21 17:12:06,-39.0333,-67.5833,77.63,32,3,1.01
137,Airai,TL,2022-11-21 17:12:07,-8.9266,125.4092,62.49,89,100,1.59
138,Thinadhoo,MV,2022-11-21 17:12:08,0.5333,72.9333,81.75,76,55,14.45
139,Souillac,MU,2022-11-21 17:13:09,-20.5167,57.5167,76.69,68,21,3.42
140,Berlevag,NO,2022-11-21 17:13:09,70.8578,29.0864,39.15,81,100,10.36
141,Avera,US,2022-11-21 17:13:10,33.194,-82.5271,54.55,28,16,7.16
142,Chokurdakh,RU,2022-11-21 17:13:11,70.6333,147.9167,-27.09,99,99,2.15
143,Coffs Harbour,AU,2022-11-21 17:09:51,-30.3,153.1333,64.36,42,33,9.22
144,Port Alfred,ZA,2022-11-21 17:13:12,-33.5906,26.891,71.19,80,4,1.99
145,Kuala Terengganu,MY,2022-11-21 17:13:12,5.3302,103.1408,77.88,88,64,3.31
146,Yeovil,GB,2022-11-21 17:13:13,50.9416,-2.6321,48.07,78,20,11.01
147,Calmar,CA,2022-11-21 17:13:13,53.2668,-113.8187,32.5,80,67,8.9
148,Igarka,RU,2022-11-21 17:13:13,67.4667,86.5833,-17.46,99,99,4.85
149,Kieta,PG,2022-11-21 17:13:14,-6.2167,155.6333,77.59,76,36,3.0
